epoch,train_loss,val_loss,train_Dice,val_Dice,train_IoU,val_IoU,train_Precision,val_Precision,train_Recall,val_Recall,train_Accuracy,val_Accuracy,train_F1,val_F1
1,0.548358316828565,0.27218558291594186,0.8474549260014634,0.9480877878873712,0.7352900507928846,0.9012993451072123,0.7808223359326151,0.9110354572229074,0.9265209123351043,0.988281770068804,0.8993185322459174,0.9664244816221084,0.8474550153478757,0.9480878152194062
2,0.21604858702275812,0.18939450879891714,0.9606380895384785,0.9618506290904268,0.9242575467403041,0.9265050444982865,0.9547840839183308,0.9440495624132057,0.9665643225704997,0.9803359138285966,0.976104806109173,0.9758745390793404,0.9606381100250767,0.961850648914608
3,0.1594678677800225,0.176499476035436,0.9669247944044065,0.9557450426429434,0.9359674776503351,0.9152410873508242,0.964371118605614,0.9401557427312442,0.9694920304897905,0.9718600511689517,0.979974351278166,0.9720781260523339,0.9669248115075768,0.9557450657886474
4,0.1328623054049364,0.1499609500169754,0.9691626282465389,0.9610482058095818,0.9401702487735667,0.9250171289789965,0.9667772808937565,0.9615438160432619,0.9715597755362487,0.9605531062192393,0.9813168688518249,0.9758440215012154,0.9691626441557214,0.9610482260748398
5,0.11645794241893583,0.12549907515446346,0.9705022132829979,0.9660498173725786,0.942694803043594,0.9343291713704386,0.9694961603025399,0.953690578348246,0.9715103564089163,0.9787335984213531,0.9821959472284089,0.9786583472942512,0.9705022284801513,0.9660498349412775
6,0.10350736094320692,0.12142569323380788,0.97250982299643,0.9660113771110149,0.9464906280978033,0.9342572594386709,0.970505973847859,0.9522818679419821,0.9745219641483097,0.9801425674867859,0.983443981263696,0.9786025737894021,0.9725098371299878,0.966011394699604
7,0.09806448193948443,0.1175404484073321,0.9725019145363918,0.9665282248732423,0.946475646324538,0.9352245974542547,0.9714185664531502,0.9592672685615751,0.9735876816662645,0.9738999398760828,0.9834077416396726,0.9790733600484941,0.9725019286741734,0.9665282421877153
8,0.09935034911443548,0.10917410353819529,0.9719520411921816,0.9683510614397711,0.9454345323727049,0.9386439759160868,0.9709034595919833,0.9547747971255917,0.9730028901901077,0.982318985847564,0.9830405770278562,0.9800795193376238,0.9719520556208328,0.9683510777781309
9,0.08823383090699591,0.10668893953164418,0.974171514008398,0.9685477663591889,0.9496436561388051,0.9390136884385138,0.97239889508679,0.9652847530450215,0.9759506074669505,0.9718329148402765,0.9844318948140962,0.9804186327704094,0.9741715272649901,0.9685477825958021
10,0.09074020644695294,0.11166810741027196,0.9729842293572645,0.966414561201965,0.94738976476315,0.9350117802799448,0.9717446258083179,0.9673066238027492,0.9742269995399209,0.9655241424284277,0.9836355069788495,0.9791804346545017,0.9729842432401795,0.9664145785782587
11,0.08176159050043036,0.09852566073338191,0.9750617218431078,0.9704528770502444,0.9513370147483675,0.94260170847723,0.9740208923658747,0.9684111148829653,0.9761047781408955,0.9725032669595811,0.9849600908232902,0.9816281548861824,0.9750617346311387,0.9704528922735435
12,0.0839961620002258,0.10783050159613292,0.9744317816485709,0.9667207916208864,0.9501384346864253,0.93558525496451,0.9730643727224396,0.9544319866181288,0.9758030391144052,0.979330173647072,0.9845996717127362,0.9790819102320205,0.9744317947680919,0.966720808830451
13,0.077628863521102,0.10510596682627996,0.975560374419051,0.9679146467709095,0.9522868405893834,0.937824225237383,0.975359500238926,0.9561228314170752,0.9757613313558394,0.9800009497715121,0.9852822466594421,0.9798434027310102,0.975560386944987,0.967914663342861
14,0.08138897978677982,0.09644773602485657,0.9751711522558891,0.9703559307849066,0.9515453769695026,0.9424188025718726,0.9734135653644763,0.9649201215000242,0.9769350975946335,0.9758533315355618,0.9850474101741143,0.9815025329589868,0.9751711649863497,0.9703559460592632
15,0.07670239854331423,0.11141816526651382,0.9758546654003398,0.9653131927663721,0.952847835587519,0.9329520643519934,0.9747178172633629,0.9667691459741253,0.9769941685269445,0.9638616182919361,0.9854114811594896,0.978510231807317,0.9758546777716959,0.9653132107329372
16,0.0827467593296272,0.10211313168207804,0.974569482940534,0.9686170328557118,0.9504003116029941,0.9391439103727384,0.9736741488211543,0.956490070003168,0.9754664651697905,0.981055450543625,0.9846391212649466,0.9802777520541514,0.974569495987569,0.9686170490529898
17,0.07772082004060106,0.09691165536642074,0.9753258028562041,0.9704064923038943,0.9518399170925306,0.9425141913291194,0.9737100512699146,0.9625167782715596,0.976946925635783,0.9784266187032149,0.9851565942531683,0.9814863533809292,0.9753258155053715,0.9704065075508637
18,0.07166348938353179,0.09730566889047623,0.9770842740706628,0.9706497704157818,0.9551952808067018,0.9429732879234553,0.9753149829941837,0.9662367694857174,0.978859996054166,0.9751032664507738,0.9861582779302833,0.981705501161775,0.9770842857972054,0.9706497855343215
19,0.0716043803386572,0.10016901890436808,0.9771206169025295,0.9696137421119134,0.9552647487562287,0.9410196755722247,0.975963791588881,0.9590046893137979,0.9782801878773263,0.9804601473333128,0.9861988207189052,0.9809353269379739,0.9771206286100612,0.9696137577792532
20,0.07158006545973987,0.09382942964633306,0.9772022904938613,0.970993046859006,0.9554208827527669,0.9436214632905138,0.975691950507965,0.9611724052553509,0.9787173136452973,0.9810164420711545,0.9862668339799093,0.9818162589237631,0.9772023021586135,0.9709930617941912
21,0.0698602284963538,0.09488764355580012,0.9774888170937828,0.9708414003644387,0.9559688279550462,0.9433350707152799,0.9753561427155579,0.962624699310707,0.9796308383489631,0.9791995800653226,0.986391811836057,0.9817521983179577,0.9774888286085259,0.9708414153805227
